,xorg-server,"servidor grafico."
,xorg-xwininfo,"permite consultar información sobre ventanas."
,xorg-xinit,"inicia el servidor grafico."
,xorg-xprop,"decta propiedades de las ventanas"
,xorg-xdpyinfo,"ayuda con la determinación de la resolución y la grabación de pantalla."
,xorg-xbacklight,"permite cambiar los niveles de brillo de la pantalla."
,xorg-xsetroot,"necesario para dwmbar."
,ttf-linux-libertine,"instala fuentes predeterminadas."
,ttf-font-awesome,"instala fuentes predeterminadas."
,ttf-roboto,"instala fuentes predeterminadas."
,noto-fonts-emoji,"instala fuentes para emojis."
A,libxft-bgra,"para mostrar emojis y no morir en el intento."
A,lf-git,"administrador de archivos en terminal."
,ueberzug,"habilita vista previa de imagenes para lf."
,bat,"puede resaltar la salida del código y mostrar archivos."
,bc,"calculadora."
,xcompmgr,"transparencia y remueve el screen-tearing."
,dosfstools,"permite a la computadora acceder a sistemas de archivos similares a dos."
,libnotify,"permite notificaciones del escritorio."
,dunst,"sistema de notificación hecho por suckless."
,exfat-utils,"permite la gestión de unidades FAT."
,sxiv,"visor de imágenes minimalista."
,xwallpaper,"establece fondos de pantalla."
,ffmpeg,"grabar video y audio en command line."
,ffmpegthumbnailer,"crea vistas previas en miniatura de archivos de video."
,gnome-keyring,"sirve como llavero del sistema."
A,gtk-theme-arc-gruvbox-git,"da el tema GTK oscuro."
,python-qdarkstyle,"proporciona un tema QT oscuro."
,mpd,"demonio de música ligera."
,mpc,"es una interfaz de terminal para mpd."
,mpv,"reproductor de video."
,man-db,"permite leer las páginas -man- de los programas."
,ncmpcpp,"interfaz para música con múltiples formatos y un potente editor de etiquetas."
,ntfs-3g,"permite acceder a particiones NTFS."
,pipewire,"sistema de audio."
,pipewire-pulse,"compatibilidad a pipewire con los programas PulseAudio."
,pulsemixer,"es un controlador de audio."
,pamixer,"es una interfaz de audio de línea de comandos."
,maim,"sistema de capturas de pantalla rápidas."
,ripgrep,"herramienta de busqueda que busca un patron de expresiones regulares."
,unclutter,"oculta el mouse si esta inactivo."
,unzip,"descomprime archivos zip."
,xcape,"asignaciones para la tecla escape."
,xclip,"permite copiar y pegar desde la línea de comandos."
,xdotool,"proporciona utilidades de acción de ventana en la línea de comandos."
,zathura,"visor de pdf's."
,zathura-pdf-mupdf,"permite la compatibilidad con mupdf pdf en zathura."
,poppler,"manipula archivos pdf, ofrece vistas previas y otras funciones de para pdf."
,mediainfo,"muestra información de audio y video."
,atool,"gestiona y da información sobre archivos."
,fzf,"un fuzzy finder poderoso."
A,simple-mtpfs,"permite el montaje de teléfonos móviles."
,htop,"monitor de sistema gráfico y colorido."
G,https://github.com/awtgerry/dwmbar.git,"barra de estado."
G,https://github.com/awtgerry/dmenu.git,"ejecuta comandos y provee una UI para su seleccion."
G,https://github.com/awtgerry/st.git,"terminal de suckless."
G,https://github.com/awtgerry/dwm.git,"window manager de suckless."
,https://github.com/neovim/neovim,"neovim no necesita introduccion"
A,mutt-wizard-git,"es un sistema de correo electrónico ligero basado en terminal."
A,brave-bin,"navegador con builtin addblock y otras caracteristicas utiles"
,slock,"permite bloquear/desbloquear la computadora"
,moreutils,"colección de útiles herramientas de Unix."
